restraunt_name,location,contact,dining_ratings,delivery_ratings,menu_name,menu_description,menu_price,menu_rating
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Chef Special Patiala Shahi Chicken,N/A,460.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,White Sauce Corn Pasta,N/A,220.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Red Sauce Pasta,N/A,200.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Red Sauce Corn Pasta,N/A,220.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Cheese Baked Pasta,N/A,250.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Cream Pasta,N/A,250.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Station Special Pasta,[Chef's Special],290.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Veg Burger,N/A,50.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Boneless Kadhai Chicken,N/A,360.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Boneless Rara Chicken,N/A,420.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Boneless Chilli Chicken Gravy,N/A,360.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Boneless Chicken Mirch Masala,N/A,360.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Boneless Chicken Tikka Butter Masala,N/A,360.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Mutton Curry,N/A,520.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Fish Fry,N/A,350.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Fish N Chips,N/A,430.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Fish Fry with Crumbs,N/A,350.0,-1
